t,src_ip,src_port,dst_ip,dst_port,cwnd,ssthresh,srtt_us,retrans,inflight,bytes_acked,ca_state
0.000000,10.0.2.15,58914,4.150.223.115,443,10,2147483647,146146,0,0,2711,Open
0.450141,127.0.0.1,51218,127.0.0.1,5201,10,2147483647,462,0,1,1,Open
0.450889,127.0.0.1,51218,127.0.0.1,5201,10,2147483647,494,0,0,38,Open
0.451221,127.0.0.1,51218,127.0.0.1,5201,10,2147483647,494,0,2,38,Open
0.451242,127.0.0.1,51218,127.0.0.1,5201,10,2147483647,437,0,0,166,Open
0.451986,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,11,0,1,1,Open
0.456153,127.0.0.1,51218,127.0.0.1,5201,10,2147483647,437,0,0,166,Open
0.456517,127.0.0.1,51218,127.0.0.1,5201,10,2147483647,437,0,0,166,Open
0.458271,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,10,0,2,38,Open
0.459399,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,249,0,3,32806,Open
0.460879,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,548,0,2,65574,Open
0.462077,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,812,0,1,128038,Open
0.465037,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,1033,0,2,131110,Open
0.465188,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,969,0,2,196134,Open
0.465191,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,869,0,1,261158,Open
0.465771,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,763,0,1,262182,Open
0.465927,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,690,0,2,327206,Open
0.466173,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,606,0,3,393254,Open
0.466330,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,551,0,2,458737,Open
0.466470,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,503,0,3,524326,Open
0.466676,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,466,0,2,589809,Open
0.466757,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,435,0,3,655398,Open
0.466797,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,388,0,3,786470,Open
0.466811,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,342,0,2,851953,Open
0.466855,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,302,0,3,917542,Open
0.466984,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,268,0,3,1048614,Open
0.467053,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,249,0,3,1179686,Open
0.467114,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,222,0,3,1310758,Open
0.467127,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,197,0,1,1441724,Open
0.467164,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,175,0,3,1441830,Open
0.467177,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,156,0,1,1572796,Open
0.467213,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,139,0,3,1572902,Open
0.467225,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,124,0,2,1638385,Open
0.467290,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,111,0,3,1703974,Open
0.467333,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,101,0,3,1835046,Open
0.467376,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,92,0,3,1966118,Open
0.467420,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,84,0,3,2097190,Open
0.467483,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,77,0,3,2228262,Open
0.467527,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,72,0,3,2359334,Open
0.467593,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,66,0,3,2490406,Open
0.467783,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,63,0,3,2621478,Open
0.467833,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,73,0,3,2752550,Open
0.467876,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,68,0,3,2883622,Open
0.467919,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,63,0,3,3014694,Open
0.467963,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,59,0,3,3145766,Open
0.468005,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,55,0,3,3276838,Open
0.468047,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,52,0,3,3407910,Open
0.468090,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,49,0,3,3538982,Open
0.468128,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,46,0,3,3670054,Open
0.468140,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,43,0,1,3801020,Open
0.468174,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,40,0,3,3801126,Open
0.468186,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,38,0,2,3866609,Open
0.468230,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,36,0,3,3932198,Open
0.468273,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,35,0,3,4063270,Open
0.468314,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,34,0,3,4194342,Open
0.468351,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,33,0,3,4325414,Open
0.468389,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,32,0,3,4456486,Open
0.468427,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,32,0,3,4587558,Open
0.468465,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,31,0,3,4718630,Open
0.468502,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,30,0,3,4849702,Open
0.468564,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,30,0,3,4980774,Open
0.468606,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,32,0,3,5111846,Open
0.468644,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,32,0,3,5242918,Open
0.468681,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,31,0,3,5373990,Open
0.468717,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,30,0,3,5505062,Open
0.468754,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,29,0,3,5636134,Open
0.468791,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,29,0,3,5767206,Open
0.468827,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,29,0,3,5898278,Open
0.468864,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,28,0,3,6029350,Open
0.468900,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,28,0,3,6160422,Open
0.468937,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,27,0,3,6291494,Open
0.468973,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,27,0,3,6422566,Open
0.469011,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,27,0,3,6553638,Open
0.469444,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,27,0,3,6684710,Open
0.469816,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,28,0,3,6815782,Open
0.469958,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,69,0,3,6946854,Open
0.470399,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,64,0,3,7077926,Open
0.470441,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,61,0,3,7208998,Open
0.470527,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,57,0,3,7340070,Open
0.470567,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,54,0,3,7471142,Open
0.470604,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,50,0,3,7602214,Open
0.470641,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,47,0,3,7733286,Open
0.470678,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,44,0,3,7864358,Open
0.470715,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,42,0,3,7995430,Open
0.470752,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,40,0,3,8126502,Open
0.470788,127.0.0.1,51230,127.0.0.1,5201,10,2147483647,38,0,3,8257574,Open
