t,src_ip,src_port,dst_ip,dst_port,cwnd,ssthresh,srtt_us,retrans,inflight,bytes_acked,ca_state
0.000000,127.0.0.1,35162,127.0.0.1,5201,10,2147483647,32,0,1,1,Open
0.000188,127.0.0.1,35162,127.0.0.1,5201,10,2147483647,52,0,0,38,Open
0.000411,127.0.0.1,35162,127.0.0.1,5201,10,2147483647,52,0,2,38,Open
0.001122,127.0.0.1,35162,127.0.0.1,5201,10,2147483647,98,0,0,166,Open
0.001392,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,12,0,1,1,Open
0.001905,127.0.0.1,35162,127.0.0.1,5201,10,2147483647,98,0,0,166,Open
0.002228,127.0.0.1,35162,127.0.0.1,5201,10,2147483647,98,0,0,166,Open
0.003584,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,11,0,2,38,Open
0.004177,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,50,0,2,65574,Open
0.004348,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,106,0,1,128038,Open
0.004402,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,96,0,2,131110,Open
0.004412,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,88,0,1,255014,Open
0.004452,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,77,0,3,262182,Open
0.004580,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,84,0,2,327665,Open
0.004666,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,91,0,3,393254,Open
0.005211,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,97,0,3,524326,Open
0.005338,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,141,0,1,655292,Open
0.005586,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,140,0,5,655398,Open
0.005727,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,156,0,4,917436,Open
0.005853,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,141,0,4,1048402,Open
0.005966,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,156,0,0,1273682,Open
0.006961,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,156,0,4,1273682,Open
0.007152,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,274,0,3,1535614,Open
0.007211,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,248,0,1,1666580,Open
0.007532,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,247,0,5,1703974,Open
0.007656,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,255,0,3,1835046,Open
0.007817,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,247,0,3,1966012,Open
0.008151,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,272,0,3,1966118,Open
0.008227,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,288,0,5,2097084,Open
0.008293,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,269,0,3,2293639,Open
0.008366,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,246,0,4,2452359,Open
0.008388,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,224,0,0,2686855,Open
0.008413,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,224,0,5,2686855,Open
0.008418,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,199,0,4,2817821,Open
0.008450,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,178,0,4,2948999,Open
0.008457,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,160,0,2,3080177,Open
0.008461,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,142,0,1,3145660,Open
0.008541,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,125,0,3,3145766,Open
0.008594,127.0.0.1,35178,127.0.0.1,5201,10,2147483647,118,0,6,3211249,Open
0.008648,127.0.0.1,35178,127.0.0.1,5201,15,2147483647,111,0,2,3473287,Open
0.008760,127.0.0.1,35178,127.0.0.1,5201,15,2147483647,105,0,5,3538982,Open
0.008820,127.0.0.1,35178,127.0.0.1,5201,15,2147483647,104,0,5,3801020,Open
0.008828,127.0.0.1,35178,127.0.0.1,5201,15,2147483647,98,0,3,3932092,Open
0.008904,127.0.0.1,35178,127.0.0.1,5201,15,2147483647,88,0,3,4063058,Open
0.008962,127.0.0.1,35178,127.0.0.1,5201,15,2147483647,88,0,7,4063270,Open
0.009017,127.0.0.1,35178,127.0.0.1,5201,15,2147483647,92,0,2,4390791,Open
0.009096,127.0.0.1,35178,127.0.0.1,5201,15,2147483647,88,0,5,4456486,Open
0.009934,127.0.0.1,35178,127.0.0.1,5201,15,2147483647,84,0,10,4718524,Open
0.010082,127.0.0.1,35178,127.0.0.1,5201,25,2147483647,191,0,2,5307977,Open
0.010103,127.0.0.1,35178,127.0.0.1,5201,25,2147483647,171,0,2,5410377,Open
0.010132,127.0.0.1,35178,127.0.0.1,5201,25,2147483647,152,0,2,5504956,Open
0.010151,127.0.0.1,35178,127.0.0.1,5201,25,2147483647,137,0,2,5635922,Open
