t,src_ip,src_port,dst_ip,dst_port,cwnd,ssthresh,srtt_us,retrans,inflight,bytes_acked,ca_state
0.000000,127.0.0.1,58126,127.0.0.1,5201,10,2147483647,400839,0,1,1,Open
0.000281,127.0.0.1,58126,127.0.0.1,5201,10,2147483647,401091,0,0,38,Open
0.401359,127.0.0.1,58126,127.0.0.1,5201,10,2147483647,401091,0,2,38,Open
0.401622,127.0.0.1,58126,127.0.0.1,5201,10,2147483647,401102,0,0,166,Open
1.203144,127.0.0.1,58134,127.0.0.1,5201,10,2147483647,400608,0,1,1,Open
1.204242,127.0.0.1,58126,127.0.0.1,5201,10,2147483647,401102,0,0,166,Open
1.204739,127.0.0.1,58126,127.0.0.1,5201,10,2147483647,401102,0,0,166,Open
1.605450,127.0.0.1,58134,127.0.0.1,5201,10,2147483647,400635,0,2,38,Open
1.605706,127.0.0.1,58134,127.0.0.1,5201,10,2147483647,400650,0,3,32806,Open
2.007108,127.0.0.1,58134,127.0.0.1,5201,10,2147483647,400665,0,2,65574,Open
2.408524,127.0.0.1,58134,127.0.0.1,5201,10,2147483647,400784,0,2,128038,Open
2.809165,127.0.0.1,58134,127.0.0.1,5201,10,2147483647,400866,0,2,195622,Open
3.209807,127.0.0.1,58134,127.0.0.1,5201,10,2147483647,400822,0,2,257062,Open
3.610314,127.0.0.1,58134,127.0.0.1,5201,10,2147483647,400813,0,2,325670,Open
3.610486,127.0.0.1,58134,127.0.0.1,5201,10,2147483647,400764,0,2,373286,Open
4.011771,127.0.0.1,58134,127.0.0.1,5201,10,2147483647,400724,0,2,393254,Open
4.012397,127.0.0.1,58134,127.0.0.1,5201,10,2147483647,400870,0,4,441382,Open
4.413933,127.0.0.1,58134,127.0.0.1,5201,10,2147483647,401000,0,7,489510,Open
4.414067,127.0.0.1,58134,127.0.0.1,5201,11,2147483647,401083,0,10,554993,Open
4.414082,127.0.0.1,58134,127.0.0.1,5201,12,2147483647,401160,0,12,589862,Open
4.814379,127.0.0.1,58134,127.0.0.1,5201,17,2147483647,401228,0,9,819238,Open
