t,src_ip,src_port,dst_ip,dst_port,cwnd,ssthresh,srtt_us,retrans,inflight,bytes_acked,ca_state
0.000000,127.0.0.1,38328,127.0.0.1,5201,10,2147483647,100612,0,1,1,Open
0.000163,127.0.0.1,38328,127.0.0.1,5201,11,2147483647,100594,0,0,38,Open
0.101848,127.0.0.1,38328,127.0.0.1,5201,11,2147483647,100594,0,2,38,Open
0.102088,127.0.0.1,38328,127.0.0.1,5201,13,2147483647,100723,0,0,166,Open
0.303275,127.0.0.1,38344,127.0.0.1,5201,10,2147483647,100641,0,1,1,Open
0.304837,127.0.0.1,38328,127.0.0.1,5201,13,2147483647,100723,0,0,166,Open
0.305481,127.0.0.1,38328,127.0.0.1,5201,13,2147483647,100723,0,0,166,Open
0.406575,127.0.0.1,38344,127.0.0.1,5201,11,2147483647,100621,0,2,38,Open
0.406953,127.0.0.1,38344,127.0.0.1,5201,12,2147483647,100655,0,3,32806,Open
0.507950,127.0.0.1,38344,127.0.0.1,5201,13,2147483647,100689,0,2,65574,Open
0.609967,127.0.0.1,38344,127.0.0.1,5201,15,2147483647,100761,0,2,128038,Open
0.710984,127.0.0.1,38344,127.0.0.1,5201,17,2147483647,100917,0,2,195622,Open
0.811560,127.0.0.1,38344,127.0.0.1,5201,17,2147483647,100926,0,2,257062,Open
0.811716,127.0.0.1,38344,127.0.0.1,5201,14,10,100867,0,3,304678,Open
0.912014,127.0.0.1,38344,127.0.0.1,5201,14,10,100821,0,8,325670,Open
0.912258,127.0.0.1,38344,127.0.0.1,5201,15,10,100785,0,7,391153,Open
0.932059,127.0.0.1,38344,127.0.0.1,5201,16,10,100757,0,8,393254,Open
0.932205,127.0.0.1,38344,127.0.0.1,5201,16,10,100908,0,7,458737,Open
0.964092,127.0.0.1,38344,127.0.0.1,5201,17,10,101043,0,8,458790,Open
0.998710,127.0.0.1,38344,127.0.0.1,5201,19,10,101032,0,8,524326,Open
1.032837,127.0.0.1,38344,127.0.0.1,5201,21,10,101006,0,10,589862,Open
1.059930,127.0.0.1,38344,127.0.0.1,5201,23,10,100997,0,12,655398,Open
1.060233,127.0.0.1,38344,127.0.0.1,5201,24,10,100994,0,11,720881,Open
1.084183,127.0.0.1,38344,127.0.0.1,5201,25,10,100992,0,14,720934,Open
1.084434,127.0.0.1,38344,127.0.0.1,5201,26,10,100964,0,13,786417,Open
1.104764,127.0.0.1,38344,127.0.0.1,5201,27,10,100941,0,16,786470,Open
1.104899,127.0.0.1,38344,127.0.0.1,5201,26,10,100914,0,15,851953,Open
1.125717,127.0.0.1,38344,127.0.0.1,5201,27,10,100892,0,16,852006,Open
1.125838,127.0.0.1,38344,127.0.0.1,5201,28,10,101102,0,15,917489,Open
1.145995,127.0.0.1,38344,127.0.0.1,5201,28,10,101288,0,16,917542,Open
1.146209,127.0.0.1,38344,127.0.0.1,5201,28,10,101621,0,15,983025,Open
1.169698,127.0.0.1,38344,127.0.0.1,5201,29,10,101916,0,16,983078,Open
1.169819,127.0.0.1,38344,127.0.0.1,5201,30,10,103611,0,15,1048561,Open
1.169830,127.0.0.1,38344,127.0.0.1,5201,30,10,105094,0,14,1048614,Open
1.176469,127.0.0.1,38344,127.0.0.1,5201,31,10,104783,0,15,1114097,Open
1.186370,127.0.0.1,38344,127.0.0.1,5201,32,10,105386,0,16,1114150,Open
1.196184,127.0.0.1,38344,127.0.0.1,5201,34,10,105666,0,16,1179686,Open
1.220329,127.0.0.1,38344,127.0.0.1,5201,36,10,105593,0,18,1245222,Open
1.221580,127.0.0.1,38344,127.0.0.1,5201,38,10,107021,0,18,1310758,Open
1.236468,127.0.0.1,38344,127.0.0.1,5201,40,10,106804,0,20,1376294,Open
1.270720,127.0.0.1,38344,127.0.0.1,5201,40,10,106023,0,26,1441830,Open
1.276747,127.0.0.1,38344,127.0.0.1,5201,40,10,105416,0,26,1507366,Open
1.276967,127.0.0.1,38344,127.0.0.1,5201,40,10,104802,0,25,1572849,Open
1.286873,127.0.0.1,38344,127.0.0.1,5201,40,10,104266,0,28,1572902,Open
1.287005,127.0.0.1,38344,127.0.0.1,5201,40,10,103901,0,27,1638385,Open
1.296155,127.0.0.1,38344,127.0.0.1,5201,40,10,103582,0,28,1638438,Open
1.296321,127.0.0.1,38344,127.0.0.1,5201,40,10,103217,0,27,1703921,Open
1.304828,127.0.0.1,38344,127.0.0.1,5201,40,10,102900,0,28,1703974,Open
1.305035,127.0.0.1,38344,127.0.0.1,5201,40,10,102597,0,27,1769457,Open
1.313392,127.0.0.1,38344,127.0.0.1,5201,41,10,102335,0,28,1769510,Open
1.313659,127.0.0.1,38344,127.0.0.1,5201,42,10,102172,0,27,1834993,Open
1.320925,127.0.0.1,38344,127.0.0.1,5201,42,10,102032,0,28,1835046,Open
1.321091,127.0.0.1,38344,127.0.0.1,5201,42,10,101831,0,27,1900529,Open
1.329123,127.0.0.1,38344,127.0.0.1,5201,43,10,101657,0,30,1900582,Open
1.337677,127.0.0.1,38344,127.0.0.1,5201,45,10,101533,0,30,1966118,Open
1.345410,127.0.0.1,38344,127.0.0.1,5201,47,10,101559,0,30,2031654,Open
1.351783,127.0.0.1,38344,127.0.0.1,5201,49,10,101479,0,30,2097190,Open
1.358216,127.0.0.1,38344,127.0.0.1,5201,51,10,101426,0,32,2162726,Open
1.365365,127.0.0.1,38344,127.0.0.1,5201,53,10,101324,0,32,2228262,Open
1.372406,127.0.0.1,38344,127.0.0.1,5201,54,10,101245,0,32,2293798,Open
1.379687,127.0.0.1,38344,127.0.0.1,5201,56,10,101160,0,34,2359334,Open
1.387811,127.0.0.1,38344,127.0.0.1,5201,58,10,101108,0,36,2424870,Open
1.388046,127.0.0.1,38344,127.0.0.1,5201,59,10,101101,0,35,2490353,Open
1.394533,127.0.0.1,38344,127.0.0.1,5201,60,10,101123,0,38,2490406,Open
1.394800,127.0.0.1,38344,127.0.0.1,5201,61,10,101140,0,37,2555889,Open
1.402186,127.0.0.1,38344,127.0.0.1,5201,62,10,101155,0,40,2555942,Open
