t,src_ip,src_port,dst_ip,dst_port,cwnd,ssthresh,srtt_us,retrans,inflight,bytes_acked,ca_state
0.000000,127.0.0.1,42092,127.0.0.1,5201,10,2147483647,106411,0,1,1,Open
0.001130,127.0.0.1,42092,127.0.0.1,5201,10,2147483647,106496,0,0,38,Open
0.104149,127.0.0.1,42092,127.0.0.1,5201,10,2147483647,106496,0,2,38,Open
0.104407,127.0.0.1,42092,127.0.0.1,5201,10,2147483647,106053,0,0,166,Open
0.306775,127.0.0.1,37374,127.0.0.1,5201,10,2147483647,101496,0,1,1,Open
0.307900,127.0.0.1,42092,127.0.0.1,5201,10,2147483647,106053,0,0,166,Open
0.308022,127.0.0.1,42092,127.0.0.1,5201,10,2147483647,106053,0,0,166,Open
0.410766,127.0.0.1,37374,127.0.0.1,5201,10,2147483647,101402,0,2,38,Open
0.410888,127.0.0.1,37374,127.0.0.1,5201,10,2147483647,101546,0,3,32806,Open
0.516637,127.0.0.1,37374,127.0.0.1,5201,10,2147483647,101674,0,2,65574,Open
0.644711,127.0.0.1,37374,127.0.0.1,5201,10,2147483647,102197,0,2,128038,Open
0.750729,127.0.0.1,37374,127.0.0.1,5201,10,2147483647,105437,0,2,195622,Open
0.853593,127.0.0.1,37374,127.0.0.1,5201,10,2147483647,105519,0,2,257062,Open
0.958361,127.0.0.1,37374,127.0.0.1,5201,10,2147483647,105172,0,2,325670,Open
0.958533,127.0.0.1,37374,127.0.0.1,5201,10,2147483647,105123,0,2,373286,Open
1.065744,127.0.0.1,37374,127.0.0.1,5201,10,2147483647,105084,0,2,393254,Open
1.168276,127.0.0.1,37374,127.0.0.1,5201,10,2147483647,105380,0,2,489510,Open
1.168565,127.0.0.1,37374,127.0.0.1,5201,10,2147483647,105027,0,5,537638,Open
1.270733,127.0.0.1,37374,127.0.0.1,5201,10,2147483647,104721,0,7,585766,Open
1.270997,127.0.0.1,37374,127.0.0.1,5201,11,2147483647,104432,0,11,651249,Open
1.271010,127.0.0.1,37374,127.0.0.1,5201,12,2147483647,104185,0,12,655398,Open
1.271020,127.0.0.1,37374,127.0.0.1,5201,13,2147483647,103970,0,13,720881,Open
1.395401,127.0.0.1,37374,127.0.0.1,5201,17,2147483647,103783,0,10,917489,Open
1.396023,127.0.0.1,37374,127.0.0.1,5201,18,2147483647,106411,0,17,982972,Open
1.396041,127.0.0.1,37374,127.0.0.1,5201,27,2147483647,108741,0,8,1343526,Open
1.520078,127.0.0.1,37374,127.0.0.1,5201,27,2147483647,108741,0,17,1343526,Open
1.632278,127.0.0.1,37374,127.0.0.1,5201,44,2147483647,110876,0,44,2031601,Open
1.632758,127.0.0.1,37374,127.0.0.1,5201,45,2147483647,110884,0,45,2097084,Open
1.632772,127.0.0.1,37374,127.0.0.1,5201,47,2147483647,110916,0,47,2162673,Open
1.632779,127.0.0.1,37374,127.0.0.1,5201,49,2147483647,110945,0,49,2228209,Open
1.632787,127.0.0.1,37374,127.0.0.1,5201,51,2147483647,110971,0,51,2293745,Open
1.632793,127.0.0.1,37374,127.0.0.1,5201,53,2147483647,110995,0,53,2359281,Open
1.632801,127.0.0.1,37374,127.0.0.1,5201,55,2147483647,111016,0,55,2424817,Open
1.632808,127.0.0.1,37374,127.0.0.1,5201,57,2147483647,111036,0,57,2490353,Open
1.632815,127.0.0.1,37374,127.0.0.1,5201,59,2147483647,111055,0,59,2555889,Open
1.632822,127.0.0.1,37374,127.0.0.1,5201,61,2147483647,111071,0,61,2621425,Open
1.632828,127.0.0.1,37374,127.0.0.1,5201,63,2147483647,111087,0,63,2686961,Open
1.632834,127.0.0.1,37374,127.0.0.1,5201,65,2147483647,111102,0,65,2752497,Open
1.632841,127.0.0.1,37374,127.0.0.1,5201,67,2147483647,111115,0,67,2818033,Open
1.632847,127.0.0.1,37374,127.0.0.1,5201,69,2147483647,111128,0,69,2883569,Open
1.632850,127.0.0.1,37374,127.0.0.1,5201,71,2147483647,111139,0,67,2949105,Open
1.632852,127.0.0.1,37374,127.0.0.1,5201,73,2147483647,111150,0,65,3014641,Open
1.632855,127.0.0.1,37374,127.0.0.1,5201,75,2147483647,111160,0,63,3080177,Open
1.632858,127.0.0.1,37374,127.0.0.1,5201,77,2147483647,111168,0,61,3145713,Open
1.632861,127.0.0.1,37374,127.0.0.1,5201,79,2147483647,111177,0,59,3211249,Open
1.632863,127.0.0.1,37374,127.0.0.1,5201,81,2147483647,111184,0,57,3276785,Open
1.632866,127.0.0.1,37374,127.0.0.1,5201,83,2147483647,111191,0,55,3342321,Open
1.633086,127.0.0.1,37374,127.0.0.1,5201,85,2147483647,111197,0,53,3407857,Open
1.633092,127.0.0.1,37374,127.0.0.1,5201,87,2147483647,111230,0,51,3473393,Open
1.734132,127.0.0.1,37374,127.0.0.1,5201,88,2147483647,111259,0,73,3473446,Open
1.734416,127.0.0.1,37374,127.0.0.1,5201,89,2147483647,110079,0,72,3538929,Open
1.734421,127.0.0.1,37374,127.0.0.1,5201,91,2147483647,109049,0,70,3604465,Open
1.734425,127.0.0.1,37374,127.0.0.1,5201,93,2147483647,108125,0,68,3670001,Open
1.734430,127.0.0.1,37374,127.0.0.1,5201,95,2147483647,107317,0,66,3735537,Open
1.734433,127.0.0.1,37374,127.0.0.1,5201,97,2147483647,106610,0,64,3801073,Open
1.734436,127.0.0.1,37374,127.0.0.1,5201,99,2147483647,105991,0,62,3866609,Open
1.734439,127.0.0.1,37374,127.0.0.1,5201,101,2147483647,105449,0,60,3932145,Open
1.734443,127.0.0.1,37374,127.0.0.1,5201,103,2147483647,104975,0,58,3997681,Open
1.734509,127.0.0.1,37374,127.0.0.1,5201,161,2147483647,104559,0,0,7664835,Open
1.837971,127.0.0.1,37374,127.0.0.1,5201,161,2147483647,104559,0,65,7664835,Open
1.838456,127.0.0.1,37374,127.0.0.1,5201,161,2147483647,104471,0,64,7730318,Open
1.838727,127.0.0.1,37374,127.0.0.1,5201,161,2147483647,104391,0,63,7733286,Open
1.838733,127.0.0.1,37374,127.0.0.1,5201,161,2147483647,104319,0,62,7798769,Open
1.838812,127.0.0.1,37374,127.0.0.1,5201,161,2147483647,104255,0,12,11072919,Disorder
1.838819,127.0.0.1,37374,127.0.0.1,5201,161,2147483647,104122,0,12,11072919,Disorder
