t,src_ip,src_port,dst_ip,dst_port,cwnd,ssthresh,srtt_us,retrans,inflight,bytes_acked,ca_state
0.000000,127.0.0.1,43326,127.0.0.1,5201,10,2147483647,106696,0,1,1,Open
0.000251,127.0.0.1,43326,127.0.0.1,5201,10,2147483647,106151,0,0,38,Open
0.105621,127.0.0.1,43326,127.0.0.1,5201,10,2147483647,106151,0,2,38,Open
0.105870,127.0.0.1,43326,127.0.0.1,5201,10,2147483647,106028,0,0,166,Open
0.321806,127.0.0.1,43340,127.0.0.1,5201,10,2147483647,106442,0,1,1,Open
0.322060,127.0.0.1,43326,127.0.0.1,5201,10,2147483647,106028,0,0,166,Open
0.322088,127.0.0.1,43326,127.0.0.1,5201,10,2147483647,106028,0,0,166,Open
0.432709,127.0.0.1,43340,127.0.0.1,5201,10,2147483647,106792,0,2,38,Open
0.432916,127.0.0.1,43340,127.0.0.1,5201,10,2147483647,107263,0,3,32806,Open
0.562349,127.0.0.1,43340,127.0.0.1,5201,10,2147483647,107678,0,2,65574,Open
0.894477,127.0.0.1,43340,127.0.0.1,5201,10,2147483647,110432,1,2,128038,Open
1.001345,127.0.0.1,43340,127.0.0.1,5201,10,2147483647,110432,1,4,128038,Disorder
1.001933,127.0.0.1,43340,127.0.0.1,5201,2,5,109987,2,4,128038,Recovery
1.108872,127.0.0.1,43340,127.0.0.1,5201,2,5,109618,2,5,128038,Recovery
1.109181,127.0.0.1,43340,127.0.0.1,5201,5,5,109290,2,3,294950,Open
1.214760,127.0.0.1,43340,127.0.0.1,5201,5,5,109035,2,5,360433,Open
1.215052,127.0.0.1,43340,127.0.0.1,5201,5,5,108639,2,5,393254,Open
1.317242,127.0.0.1,43340,127.0.0.1,5201,6,5,108296,2,4,589809,Open
1.317664,127.0.0.1,43340,127.0.0.1,5201,6,5,107583,2,6,688113,Open
1.418577,127.0.0.1,43340,127.0.0.1,5201,7,5,106961,2,6,753649,Open
1.418773,127.0.0.1,43340,127.0.0.1,5201,7,5,106229,2,7,819238,Open
1.418826,127.0.0.1,43340,127.0.0.1,5201,7,5,105591,2,3,983078,Open
1.521075,127.0.0.1,43340,127.0.0.1,5201,7,5,105591,2,7,983078,Open
1.521279,127.0.0.1,43340,127.0.0.1,5201,8,5,105204,2,2,1245222,Open
1.622164,127.0.0.1,43340,127.0.0.1,5201,8,5,105204,2,8,1245222,Open
1.622289,127.0.0.1,43340,127.0.0.1,5201,9,5,104680,2,0,1572902,Open
1.723895,127.0.0.1,43340,127.0.0.1,5201,9,5,104680,2,8,1572902,Open
1.885284,127.0.0.1,43340,127.0.0.1,5201,9,5,104324,2,9,1900582,Open
1.885420,127.0.0.1,43340,127.0.0.1,5201,9,5,111442,2,9,1966065,Open
1.885429,127.0.0.1,43340,127.0.0.1,5201,10,5,117672,2,10,2031601,Open
1.885436,127.0.0.1,43340,127.0.0.1,5201,10,5,123125,2,10,2097137,Open
1.885443,127.0.0.1,43340,127.0.0.1,5201,10,5,127897,2,10,2162673,Open
1.989812,127.0.0.1,43340,127.0.0.1,5201,10,5,132073,2,10,2228209,Open
1.989979,127.0.0.1,43340,127.0.0.1,5201,10,5,128633,2,10,2261030,Open
1.989985,127.0.0.1,43340,127.0.0.1,5201,10,5,125624,2,10,2326513,Open
2.097768,127.0.0.1,43340,127.0.0.1,5201,11,5,122991,2,10,2719623,Open
2.097941,127.0.0.1,43340,127.0.0.1,5201,11,5,121112,2,11,2785106,Open
2.097956,127.0.0.1,43340,127.0.0.1,5201,12,5,119468,2,8,3374453,Open
2.236351,127.0.0.1,43340,127.0.0.1,5201,12,5,119468,2,12,3374453,Open
2.236527,127.0.0.1,43340,127.0.0.1,5201,13,5,121852,2,6,4160249,Open
2.338991,127.0.0.1,43340,127.0.0.1,5201,13,5,121852,2,13,4160249,Open
